Hotel_Address,Additional_Number_of_Scoring,Review_Date,Average_Score,Hotel_Name,Reviewer_Nationality,Negative_Review,Review_Total_Negative_Word_Counts,Total_Number_of_Reviews,Positive_Review,Review_Total_Positive_Word_Counts,Total_Number_of_Reviews_Reviewer_Has_Given,Reviewer_Score,Tags,days_since_review,lat,lng,review_total,review_total_clean,compound,review_tag_vader
Via Senigallia 6 20161 Milan Italy,904,7/21/2017,8.1,Hotel Da Vinci, United Kingdom , Would have appreciated a shop in the hotel that sold drinking water etc but not necessity Would recommend if like us you arrive late at night to bring drinks from plane airport as there s no shop nearby There is a minibar though if you want to pay those prices ,52,16670, Hotel was great clean friendly staff free breakfast every morning with good selection good wifi connection nice sized room with bath fridge in room Personally loved the fact that the hotel isn t in the city centre but is literally next to a train station that you can easily get to and from the airport city Would definitely stay again ,62,1,9.6,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 2 nights ']",13 days,45.5331372,9.1711019, Would have appreciated a shop in the hotel that sold drinking water etc but not necessity Would recommend if like us you arrive late at night to bring drinks from plane airport as there s no shop nearby There is a minibar though if you want to pay those prices  Hotel was great clean friendly staff free breakfast every morning with good selection good wifi connection nice sized room with bath fridge in room Personally loved the fact that the hotel isn t in the city centre but is literally next to a train station that you can easily get to and from the airport city Would definitely stay again ,would appreciate shop hotel sell drinking water etc necessity would recommend like arrive late night bring drink plane airport shop nearby minibar though want pay price hotel great clean friendly staff free breakfast every morning good selection good wifi connection nice size room bath fridge room personally love fact hotel city centre literally next train station easily get airport city would definitely stay,0.9924,Positive
Arlandaweg 10 Westpoort 1043 EW Amsterdam Netherlands,612,12/12/2016,8.6,Urban Lodge Hotel, Belgium , No tissue paper box was present at the room,10,5018,No Positive,0,7,8.8,"[' Leisure trip ', ' Group ', ' Triple Room ', ' Stayed 1 night ']",234 day,52.3856494,4.834443, No tissue paper box was present at the room No Positive,tissue paper box present room no positive,0.34,Negative
Mallorca 251 Eixample 08008 Barcelona Spain,46,11/26/2015,8.3,Alexandra Barcelona A DoubleTree by Hilton, Sweden , Pillows ,3,351, Nice welcoming and service,5,15,7.9,"[' Business trip ', ' Solo traveler ', ' Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",616 day,41.3931918,2.16152, Pillows  Nice welcoming and service,pillow nice welcome service,0.6908,Positive
Piazza Della Repubblica 17 Central Station 20124 Milan Italy,241,10/17/2015,9.1,Hotel Principe Di Savoia, United States of America ,No Negative,0,1543, Everything including the nice upgrade The Hotel has been revamped and what a surprise Love every second of it including in room dining which was excellent,27,9,10.0,"[' Leisure trip ', ' Couple ', ' Ambassador Junior Suite ', ' Stayed 1 night ']",656 day,45.479888,9.1962982,No Negative Everything including the nice upgrade The Hotel has been revamped and what a surprise Love every second of it including in room dining which was excellent,negative everything include nice upgrade hotel revamp surprise love every second include room dining excellent,0.7845,Positive
Singel 303 309 Amsterdam City Center 1012 WJ Amsterdam Netherlands,834,5/16/2016,9.1,Hotel Esther a, United Kingdom ,No Negative,0,4687, Lovely hotel v welcoming staff ,7,2,9.6,"[' Business trip ', ' Solo traveler ', ' Classic Double or Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",444 day,52.3705447,4.8886439,No Negative Lovely hotel v welcoming staff ,negative lovely hotel welcome staff,0.2023,Positive
Coram Street Camden London WC1N 1HT United Kingdom,709,8/13/2015,8.2,Holiday Inn London Bloomsbury, Ecuador , They don t have free wifi,7,2995, The location is perfect if you don t have a lot of time and you want to have a look at the city centre ,26,3,8.3,"[' Business trip ', ' Solo traveler ', ' Standard Double or Twin Room ', ' Stayed 1 night ']",721 day,51.5241248,-0.1258066, They don t have free wifi The location is perfect if you don t have a lot of time and you want to have a look at the city centre ,free wifi location perfect lot time want look city centre,0.8074,Positive
Empire Way Wembley Brent London HA9 8DS United Kingdom,1005,8/18/2016,8.3,Holiday Inn London Wembley, United Kingdom , Room generally a bit shabby with some lack of maintenance Some crumbs on bedroom floor these issues did not spoil our minibreak It would be nice to have vegetarian sausages available for breakfast ,35,3469, Location price It did not cost much more to have breakfast included Room was a reasonable size and bed was comfortable ,23,11,7.5,"[' Leisure trip ', ' Couple ', ' Queen Room ', ' Stayed 1 night ']",350 day,51.5590955,-0.284704, Room generally a bit shabby with some lack of maintenance Some crumbs on bedroom floor these issues did not spoil our minibreak It would be nice to have vegetarian sausages available for breakfast  Location price It did not cost much more to have breakfast included Room was a reasonable size and bed was comfortable ,room generally bit shabby lack maintenance crumb bedroom floor issue spoil minibreak would nice vegetarian sausage available breakfast location price cost much breakfast include room reasonable size bed comfortable,0.5859,Positive
1 Shortlands Hammersmith and Fulham London W6 8DR United Kingdom,704,8/11/2015,8.3,Novotel London West, Netherlands , Executive rooms 9th Floor don t have a bath Their website made it look like all rooms did have one and when being at the end of a hall there s no wifi connection possible Mind that during my first two stays here I did have a perfect wifi connection ,52,2443, Comphy bed upgraded to executive room with nespresso machine etc for only 24 3 nights quiet room clean 4 free waters in the fridge tho no refill and close to Hammersmith station shops and Starbucks Olympia is in walking distance too,42,38,7.9,"[' Business trip ', ' Solo traveler ', ' Executive Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",723 day,51.4919588,-0.2200956, Executive rooms 9th Floor don t have a bath Their website made it look like all rooms did have one and when being at the end of a hall there s no wifi connection possible Mind that during my first two stays here I did have a perfect wifi connection  Comphy bed upgraded to executive room with nespresso machine etc for only 24 3 nights quiet room clean 4 free waters in the fridge tho no refill and close to Hammersmith station shops and Starbucks Olympia is in walking distance too,executive room floor bath website make look like room one end hall wifi connection possible mind first two stay perfect wifi connection comphy bed upgraded executive room nespresso machine etc night quiet room clean free water fridge tho refill close hammersmith station shop starbucks olympia walk distance,0.8316,Positive
49 Gloucester Place Marble Arch Westminster Borough London W1U 8JE United Kingdom,61,9/30/2015,7.4,St George Hotel, Canada , Didn t like it at all construction was in progress stuff lied to us about vacancy ,18,334, Didn t like anything about the stay if i had a chance to change or cancel it I would do it right away ,25,1,2.5,"[' Couple ', ' Standard Triple Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",673 day,51.5182768,-0.1583511, Didn t like it at all construction was in progress stuff lied to us about vacancy  Didn t like anything about the stay if i had a chance to change or cancel it I would do it right away ,like construction progress stuff lie vacancy like anything stay chance change cancel would right away,0.6369,Negative
Via Giorgio Stephenson 55 20157 Milan Italy,127,1/22/2016,8.1,Barcel Milan, United Kingdom , N A,3,3228, Free upgrade in Executive Double room complementary daily access to the Spa area Modern design Big and cozy room Open space between bathroom and bedroom is a great concept suitable for a couple Free parking option available Easy to reach from highway ,44,3,10.0,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 1 night ']",559 day,45.51152,9.1241306, N A Free upgrade in Executive Double room complementary daily access to the Spa area Modern design Big and cozy room Open space between bathroom and bedroom is a great concept suitable for a couple Free parking option available Easy to reach from highway ,free upgrade executive double room complementary daily access spa area modern design big cozy room open space bathroom bedroom great concept suitable couple free parking option available easy reach highway,0.9287,Positive
